article_name,img_url,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt,none
WJLP,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/WJLP_3_logo.jpg/220px-WJLP_3_logo.jpg,0,0,0,1,2
Dentyl pH,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dentyl_pH_logo.png/220px-Dentyl_pH_logo.png,1,0,2,0,0
996,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Clm_4453_fol_24r_Detail_Herrscherbild.jpg/300px-Clm_4453_fol_24r_Detail_Herrscherbild.jpg,0,0,0,1,2
Samuel Goudsmit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Goudsmit_Samuel_A6.jpg/220px-Goudsmit_Samuel_A6.jpg,0,2,0,1,0
"Warkworth, New Zealand",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/The_village_of_Warkworth%2C_on_the_River_Mahurangi_containing_89_village_allotments_%281864%29_%28cropped%29.jpg/220px-The_village_of_Warkworth%2C_on_the_River_Mahurangi_containing_89_village_allotments_%281864%29_%28cropped%29.jpg,0,0,0,0,3
California,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/The_port_of_Long_Beach_2_by_Don_Ramey_Logan.jpg/220px-The_port_of_Long_Beach_2_by_Don_Ramey_Logan.jpg,0,0,0,1,2
Eeli Aalto,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Eeli_Aalto_3.jpg/220px-Eeli_Aalto_3.jpg,1,0,0,2,0
Mathieu Dubus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/DubusSodomeGomorrhe.jpg/250px-DubusSodomeGomorrhe.jpg,0,0,0,1,2
World Axe Throwing League,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Target-graphic-2024.png/220px-Target-graphic-2024.png,0,0,0,0,3
Anett Kontaveit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Anett_Kontaveit_%2819144689161%29_%28cropped%29.jpg/220px-Anett_Kontaveit_%2819144689161%29_%28cropped%29.jpg,0,1,2,0,0
Captain Lash,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Captain_Lash_%28SAYRE_14635%29.jpg/220px-Captain_Lash_%28SAYRE_14635%29.jpg,0,0,1,0,2
Maryland Toleration Act,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Cecil_Calvert%2C_2nd_Baron_Baltimore%2C_by_Gerard_Soest_%281670%29.jpg/220px-Cecil_Calvert%2C_2nd_Baron_Baltimore%2C_by_Gerard_Soest_%281670%29.jpg,0,0,0,1,2
Free throw,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/DSC_6893_%284273598578%29.jpg/220px-DSC_6893_%284273598578%29.jpg,0,0,0,0,3
Battle of Midway order of battle,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Vizeadmiral_Nobutake_Kondo.jpg/170px-Vizeadmiral_Nobutake_Kondo.jpg,0,0,0,1,2
History of the Jews in Slovenia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Judinja.jpg/220px-Judinja.jpg,0,0,1,0,2
Gomti Nagar,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/GomtiNagar.....jpg/220px-GomtiNagar.....jpg,0,0,1,0,2
Wonton noodles,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Singapore_Wonton_noodles_%28cropped%29.jpg/150px-Singapore_Wonton_noodles_%28cropped%29.jpg,0,0,0,2,1
Howard &#34;Dutch&#34; Darrin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/DKF-161_Kaiser_Darrin_%284061797062%2C_resized%29_%28cropped%29.jpg/220px-DKF-161_Kaiser_Darrin_%284061797062%2C_resized%29_%28cropped%29.jpg,0,1,1,0,1
21st AVN Awards,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Michael_Stefano_AVN_Expo_2005.jpg/150px-Michael_Stefano_AVN_Expo_2005.jpg,0,0,1,1,1
Tipping the Velvet,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Sarah_Waters_%28cropped%29.jpg/170px-Sarah_Waters_%28cropped%29.jpg,0,0,0,3,0
Genealogy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Family_image_tree_on_a_wall.jpg/220px-Family_image_tree_on_a_wall.jpg,0,2,0,1,0
Bill Clinton,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Maxwell_Epstein_Clinton_1993_2.jpg/220px-Maxwell_Epstein_Clinton_1993_2.jpg,0,0,0,3,0
Chris Conte,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/141116-A-TI382-213_%2815622516898%29_%28Chris_Conte%29.jpg/220px-141116-A-TI382-213_%2815622516898%29_%28Chris_Conte%29.jpg,0,0,0,2,1
Kate Botello,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Kate_Botello_at_QuakeCon_2000.jpg/170px-Kate_Botello_at_QuakeCon_2000.jpg,0,0,0,1,2
"Chatham County, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Old_Chatham_County_Courthouse_%28April_2023%29_18.jpg/220px-Old_Chatham_County_Courthouse_%28April_2023%29_18.jpg,0,0,2,1,0
Blue Bloods (TV series),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Donnie_Wahlberg_2010.jpg/170px-Donnie_Wahlberg_2010.jpg,2,0,0,0,1
George Washington Carver,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2024_Missouri_American_Innovation_Dollar.jpg/220px-2024_Missouri_American_Innovation_Dollar.jpg,0,0,0,2,1
Kässbohrer Geländefahrzeug,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Meppen_-_WTD91_%28TdBW%29_042_ies_%28crop_2%29.jpg/220px-Meppen_-_WTD91_%28TdBW%29_042_ies_%28crop_2%29.jpg,0,1,0,1,1
Einar Holbøll,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/First_Christmas_Seal%2C_Denmark%2C_1904.jpg/170px-First_Christmas_Seal%2C_Denmark%2C_1904.jpg,0,0,0,1,2
Yitzhak Rabin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Yitzhak_Rabin_1973_D84-017.jpg/220px-Yitzhak_Rabin_1973_D84-017.jpg,0,0,2,0,1
Johnny Almond,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/John_Mayall_1970-1281_04_%28Johnny_Almond%29.jpg/220px-John_Mayall_1970-1281_04_%28Johnny_Almond%29.jpg,0,1,0,1,1
San Diego Electric Railway,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Streetcar_stop_at_the_California_Pacific_International_Exposition_%28cropped%29.jpg/220px-Streetcar_stop_at_the_California_Pacific_International_Exposition_%28cropped%29.jpg,0,0,1,1,1
Valle Fértil Department,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Lago_San_Agustin.jpg/220px-Lago_San_Agustin.jpg,0,1,1,1,0
Harold Cazneaux,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/FrenshamBushland.jpg/150px-FrenshamBushland.jpg,1,1,0,0,1
Matteo Egizio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Matteo_Egizio.jpg/220px-Matteo_Egizio.jpg,0,0,0,1,2
Religion in Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/HolyRomanEmpire_1618.png/270px-HolyRomanEmpire_1618.png,0,1,1,0,1
"Porta San Giorgio, Florence",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Firenze%2C_porta_san_giorgio%2C_1324_%28rimaneggiata_nel_1937%29_02.jpg/220px-Firenze%2C_porta_san_giorgio%2C_1324_%28rimaneggiata_nel_1937%29_02.jpg,0,0,2,1,0
SC de Goa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Ongoing_grassroots_program_with_Sporting_Clube_de_Goa_Academy_players_led_by_club_managements_in_Duler_Stadium_in_Mapusa%2C_Goa%2C_India.jpg/220px-Ongoing_grassroots_program_with_Sporting_Clube_de_Goa_Academy_players_led_by_club_managements_in_Duler_Stadium_in_Mapusa%2C_Goa%2C_India.jpg,0,1,1,1,0
"Gilman, Colorado",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Gilman_Interior_Shot.jpg/222px-Gilman_Interior_Shot.jpg,0,1,1,1,0
Catherine Deneuve,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Catherine_Deneuve%2C_April_1983.jpg/170px-Catherine_Deneuve%2C_April_1983.jpg,0,0,0,2,1
Coastal Road (Mumbai),https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Coastal_road_under_construction%2C_Mumbai.jpg/220px-Coastal_road_under_construction%2C_Mumbai.jpg,0,0,0,2,1
Ford Mustang (second generation),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/1977_Ford_Mustang_II_Cobra_%2814203160339%29_%28cropped%29.jpg/220px-1977_Ford_Mustang_II_Cobra_%2814203160339%29_%28cropped%29.jpg,1,0,1,1,0
Harold Cazneaux,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jean%2C_Carmen%2C_Beryl%2C_Harold%2C_Rainbow_and_Joan_Cazneaux_at_Ambleside%2C_Rosville%2C_New_South_Wales%2C_1922.jpg/220px-Jean%2C_Carmen%2C_Beryl%2C_Harold%2C_Rainbow_and_Joan_Cazneaux_at_Ambleside%2C_Rosville%2C_New_South_Wales%2C_1922.jpg,0,0,1,2,0
2010 Wisconsin gubernatorial election,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Milwaukee_Early_Vote_Rally_%285115626494%29_%281%29.jpg/220px-Milwaukee_Early_Vote_Rally_%285115626494%29_%281%29.jpg,0,0,1,2,0
The Overlook (Alexander McQueen collection),https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Fitting_of_the_Coiled_Corset_%28cropped%29.jpg/220px-Fitting_of_the_Coiled_Corset_%28cropped%29.jpg,0,0,1,1,1
Fauna of Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg/220px-%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg,0,0,2,1,0
The Man Who Laughs (1928 film),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg/175px-The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,0,0,1,2,0
"Boughton, Northamptonshire",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg/220px-Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg,0,0,0,3,0
You Need to Calm Down,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg/170px-Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg,1,0,2,0,0
Frederik X,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/2024_Proclamation_of_King_Frederik_of_Denmark.jpg/220px-2024_Proclamation_of_King_Frederik_of_Denmark.jpg,0,0,1,1,1
Gentile Bellini,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg/220px-%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg,1,0,1,1,0
Pan American Games,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pan_American_Games_host_countries_map.png/220px-Pan_American_Games_host_countries_map.png,0,1,0,1,1
1991 NCAA Division I-A football rankings,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/1991_Grantland_Rice_Trophy.jpg/220px-1991_Grantland_Rice_Trophy.jpg,0,0,0,3,0
Extinction Rebellion,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Extinction_rebellion_Climbing_division.jpg/220px-Extinction_rebellion_Climbing_division.jpg,0,0,3,0,0
South Asian pickle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mula_Ko_Aachar_2.jpg/220px-Mula_Ko_Aachar_2.jpg,0,1,0,2,0
The Bahamas,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Traffic_police_stand_in_Nassau.jpg/220px-Traffic_police_stand_in_Nassau.jpg,0,0,0,3,0
OTR (convenience store),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/OTR_Alphington_April_2023_3_%28cropped%29.jpg/220px-OTR_Alphington_April_2023_3_%28cropped%29.jpg,0,0,1,2,0
Cyclone Alvaro,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Alvaro_2023_path.png/275px-Alvaro_2023_path.png,0,0,2,1,0
Tetris (NES video game),https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/NES_Tetris_falling_speed_by_level.jpg/220px-NES_Tetris_falling_speed_by_level.jpg,0,1,0,2,0
Gallotia galloti,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/At_Tenerife_2022_085_-_Gallotia_galloti_%28cropped%29.jpg/220px-At_Tenerife_2022_085_-_Gallotia_galloti_%28cropped%29.jpg,0,1,0,2,0
Bill Terry,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Bill_Terry_1933.jpg/220px-Bill_Terry_1933.jpg,0,1,0,2,0
Steamboat Willie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Steamboat_Willie_filmstrip.jpg/150px-Steamboat_Willie_filmstrip.jpg,0,1,0,1,1
Ocean liner,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/HMT_Olympic.jpg/220px-HMT_Olympic.jpg,0,2,0,1,0
Aaron Kwok,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/NYAFF2015_HK_Reception_0626201505_%2819314611836%29_%28cropped%29.jpg/170px-NYAFF2015_HK_Reception_0626201505_%2819314611836%29_%28cropped%29.jpg,0,1,1,1,0
"Boughton, Northamptonshire",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Griffin_Cottage%2C_Boughton%2C_Northamptonshire.jpg/220px-Griffin_Cottage%2C_Boughton%2C_Northamptonshire.jpg,0,0,2,0,1
Maria Pia Fanfani,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Nancy_Reagan_and_Maria_Pia_Fanfani.jpg/220px-Nancy_Reagan_and_Maria_Pia_Fanfani.jpg,0,0,0,1,2
Akio Mimura,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Akio_Mimura_20240109syuko01.jpg/220px-Akio_Mimura_20240109syuko01.jpg,1,0,1,1,0
Drake Batherson,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brian_Dumoulin_and_Drake_Batherson_%2853451782453%29.jpg/220px-Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brian_Dumoulin_and_Drake_Batherson_%2853451782453%29.jpg,0,0,2,0,1
Galvanism,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Ritratto_di_Giovanni_Aldini%2C_1829_-_Accademia_delle_Scienze_di_Torino_-_Ritratti_0035_B_%28cropped%29.jpg/150px-Ritratto_di_Giovanni_Aldini%2C_1829_-_Accademia_delle_Scienze_di_Torino_-_Ritratti_0035_B_%28cropped%29.jpg,0,2,0,1,0
LEX (sounding rocket),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/LEX_%28ONERA_sounding_rockets%29.jpg/220px-LEX_%28ONERA_sounding_rockets%29.jpg,0,0,1,1,1
Israel–Hamas war,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Merkava_Mk_IV_in_Gazan_street_during_Operation_Swords_of_Iron.jpg/220px-Merkava_Mk_IV_in_Gazan_street_during_Operation_Swords_of_Iron.jpg,0,0,0,2,1
Yuriko Backes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Backes_Borrell_2024.jpg/220px-Backes_Borrell_2024.jpg,0,0,3,0,0
Geraldine Pillay,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Olimpicos_Beijing_2008.jpg/220px-Olimpicos_Beijing_2008.jpg,0,1,1,1,0
Badarpur Thermal Power Station,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Polluted_sunrise_in_Delhi.jpg/220px-Polluted_sunrise_in_Delhi.jpg,0,1,1,1,0
Toilets in New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Bryant_Park_bathroom_%2890660%29.jpg/220px-Bryant_Park_bathroom_%2890660%29.jpg,0,1,1,0,1
