image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
"Priit_Aimla_1988,_Miss_Estonia_pageant.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Priit_Aimla_1988%2C_Miss_Estonia_pageant.jpg/220px-Priit_Aimla_1988%2C_Miss_Estonia_pageant.jpg,Priit_Aimla,"Priit Aimla (born 19 April 1941 in Võru) is an Estonian writer, poet, humorist and politician known for several stage plays and books. During 1992 to 1995, he belonged to the VII Riigikogu, having been elected as a member of the Independent Royalist Party of Estonia; later, he switched to the Estonian Centre Party and was elected as a member of VIII Riigikogu. Since 1999, he has been a member of the Estonian Social Democratic Party.",Priit Aimla in 1988,"A black and white photo of a man in a suit and tie. He is shown in profile, looking to the right. The background is a plain, vertically striped curtain. The man has short hair and a serious expression.","Alt-text: Black and white photograph of a man in a suit and tie, looking to the right.","A black and white photo of a man in a suit and tie, looking to the side, with a striped tie and pinstriped suit jacket.",A black and white photograph of a man in a suit facing sideways.
"Carole_Ann_Ford,_Lexington_Leader,_1963.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Carole_Ann_Ford%2C_Lexington_Leader%2C_1963.jpg/170px-Carole_Ann_Ford%2C_Lexington_Leader%2C_1963.jpg,An_Unearthly_Child,"The Doctor's companion was originally named Bridget or ""Biddy"", a 15-year-old girl eager for life. Her teachers were Miss Lola McGovern, a 24-year-old timid woman capable of sudden courage, and Cliff, a ""physically perfect, strong and courageous"" man.[5] Bridget was renamed Suzan/Suzanne Foreman, later changed to Susan, and writer Anthony Coburn made her the Doctor's granddaughter to avoid any possibility of sexual impropriety implicit in having a young girl travelling with an older man; Newman was reluctant about the idea, as he wanted the character to have human naivety.[11] Miss McGovern later became history teacher Miss Canning, and Susan's birth name briefly became ""Findooclare"".[12] When the show's bible was written, the two teachers were renamed Ian Chesterton and Barbara Wright.[13] Chesterton was much more violent in earlier drafts of the script.[14] William Russell was chosen to portray Ian, being the only actor considered by Lambert to do so.[15] Tucker held auditions for the roles of Susan and Barbara on 25 June 1963; actresses Christa Bergmann, Anne Castaldini, Maureen Crombie, Heather Fleming, Camilla Hasse, Waveney Lee, Anna Palk and Anneke Wills were all considered for the role of Susan, while Sally Home, Phyllida Law and Penelope Lee were considered for Barbara.[16] Following Tucker's departure from production, Lambert was in talks with actress Jacqueline Lenya to play Susan, but the role was ultimately given to Carole Ann Ford, a 23-year-old who typically played younger roles.[17] Lambert's friend Jacqueline Hill was chosen to play Barbara.[18]",Carole Ann Ford (pictured in 1963) was chosen to portray the Doctor's granddaughter Susan Foreman.,"A woman with curly hair is sitting outdoors near a pond. She is wearing hoop earrings and an off-the-shoulder top. The background is a blurred reflection of trees on the water. The image has a vintage, grainy quality.","A black-and-white image of a woman with curly hair, smiling as she sits outdoors near a body of water. She is wearing a light, off-the-shoulder top and hoop earrings.","A black-and-white photo of a person with curly hair, wearing hoop earrings and an off-the-shoulder top, sitting outdoors with a calm expression.","A young woman with curly hair, wearing large hoop earrings and an off-the-shoulder top, smiles while sitting outdoors."
Serments_de_Strasbourg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Serments_de_Strasbourg.jpg/200px-Serments_de_Strasbourg.jpg,Francophone_literature,Léopold Sédar Senghor a prominent Francophone writer and politician. Senghor was the first African elected as a member of the Académie française.,"The Serments de Strasbourg, the oldest preserved text in the French language.","Alt-text: A page from an ancient manuscript, with handwritten Latin text in a neat, cursive script. The page shows evidence of age, including a yellowed appearance and some ink fading. There are also marginalia, or handwritten notes, in the margins in smaller text, possibly by a different hand. The lines of text are closely spaced and well-aligned.","Alt-text: A page from an old manuscript, featuring handwritten Latin text in a script format. The page includes margins filled with additional notes or annotations, possibly made by a different hand. The paper appears aged, with visible signs of wear and discoloration.","A page of medieval Latin manuscript with handwritten text and marginal notes on old, yellowed parchment.","A page of an ancient manuscript with Latin text, featuring handwritten notes in the margins."
1928_Rafael_Altamira.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/1928_Rafael_Altamira.jpg/220px-1928_Rafael_Altamira.jpg,Rafael_Altamira_y_Crevea,"Rafael Altamira y Crevea (February 10, 1866 – June 1, 1951) was a Spanish historian and jurist.  Born in Alicante, Altamira is considered to be one of the most significant Spanish historians of the 20th century, was a multi-faceted scholar who also took interest in journalism, pedagogy, politics, and literature. Written as a manual for Spanish history, no other work has pictured the Spanish ethos so graphically as Rafael Altamira's Historia de España y de la Civilización Española (Barcelona, 1899).[1]",1928 Autochrome by Auguste Léon,"A man with a white beard and mustache is wearing a black suit with a white shirt and a bow tie. He is sitting against a plain olive-green background, looking directly at the camera with a composed expression.","Alt-text: A distinguished older man with a white beard and mustache, wearing a dark suit and bow tie. He is seated against a solid, muted background, looking ahead with a composed expression.",A man with a white beard wearing a dark suit and bow tie sits against a plain background.,"A portrait of Rafael Altamira y Crevea, a bearded man wearing a dark suit and bow tie, seated against a plain backdrop."
Whitecliffs_Branch_Historical_Site_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Whitecliffs_Branch_Historical_Site_%282%29.jpg/220px-Whitecliffs_Branch_Historical_Site_%282%29.jpg,Whitecliffs_Branch_historical_site,"Construction[edit] Homebush Station[edit] Many of the Homebush Station buildings were erected during the 1870s; the property is located at 2142 Homebush Road. The homestead itself was built between 1904 and 1909.[4] It was donated by the Slattery Family estate and restored to its 1947 appearance, with help from Jack Blair and Brian Marsh.[1]",The NZR M type wagon (No. M141),"A small, red railway wagon marked with ""M 144"" is placed on short railroad tracks in a scenic outdoor setting. The wagon is surrounded by lush green grass and shrubs. Tall trees are visible in the background, and a paved path runs alongside the tracks. Bright sunlight enhances the vibrant colors of the scene.","Alt-text: A restored vintage rail cart sits on short tracks surrounded by grass and greenery. The cart is painted red with black accents and features the number ""M141"" on the side. Nearby, a concrete path is visible, and trees can be seen in the background.","A small, red freight wagon with the number ""M144"" is stationed on railway tracks surrounded by grass and trees.","A vintage red rail wagon marked ""M 44"" is displayed on a short track section, surrounded by grass and trees."
1921_Leonardo_Torres_Quevedo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/1921_Leonardo_Torres_Quevedo.jpg/110px-1921_Leonardo_Torres_Quevedo.jpg,1936,"December 7 – Jean Mermoz, French aviator (b. 1901) December 9 Juan de la Cierva, Spanish civil engineer, aviator, aeronautical engineer and inventor of the autogyro (b. 1895) Arvid Lindman, 12th Prime Minister of Sweden (b. 1862) Lottie Pickford, Canadian actress (b. 1895) December 10 Bobby Abel, English cricketer (b. 1857) Luigi Pirandello, Italian writer, Nobel Prize laureate (b. 1867) December 18 – Leonardo Torres Quevedo, Spanish engineer, one of pioneers of computing and the radio control, inventor of El Ajedrecista (The Chess Player) (b. 1852) December 23 – William Henry Harrison, English cricketer (b. 1866) December 24 – Irene Fenwick, American actress (b. 1887) December 25 – Carl Stumpf, German philosopher, psychologist (b. 1848) December 26 – Percival G. Baldwin, American politician and businessman (b. 1880) December 29 – Lucy, Lady Houston, British philanthropist (b. 1857) December 31 – Miguel de Unamuno, Spanish writer (b. 1864)",Leonardo Torres Quevedo,"A seated man with a bald head and a full beard, wearing a dark formal suit and tie, poses against a green curtain backdrop.",A seated man with a beard wearing a dark suit against a green backdrop.,"A man with a beard and mustache sits against a green curtain backdrop, wearing a dark suit and a tie, looking forward.",A bearded man in a dark suit sits against a green background.
20191221_Radiodonta_frontal_appendage_Anomalocaris.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/20191221_Radiodonta_frontal_appendage_Anomalocaris.png/350px-20191221_Radiodonta_frontal_appendage_Anomalocaris.png,Anomalocaris,"Two large frontal appendage were positioned in front of the mouth, at the front of the head.[8] Each frontal appendage of Anomalocaris usually had 14 podomeres (segmental units, at least 1 for shaft and 13 for distal articulated region), with each appendage being laterally-flattened (taller than wide).[35] Most podomeres were tipped with a pair of endites (ventral spines).[35] The endites themselves were both equipped with multiple auxiliary spines, which branches off from the anterior and posterior margin of the endites.[25][39][41][35][1]","Frontal appendages of Anomalocaris, with examples from multiple species","Alt-text: The image depicts three grayscale illustrations of Anomalocaris appendages. The top left shows ""Anomalocaris canadensis"" with long, slender spines. Below it is ""Anomalocaris daleyae"" with shorter, robust spines. To the right is ""Anomalocaris aff. canadensis (Weeks Formation)"" with a similar form to the first but with subtle differences in spine length and arrangement. Each illustration highlights variations in the appendage structure.","Diagram showing three types of Anomalocaris frontal appendages. The top left is labeled ""Anomalocaris canadensis"" with numerous pointed spines. Below it is ""Anomalocaris daleyae"" with slightly fewer spines. On the right is ""Anomalocaris aff. canadensis (Weeks Formation)"" with a more slender appearance and fewer spines than the others. All appendages are laterally flattened with distinct segments.","Diagram showing three labeled reconstructions of Anomalocaris tail segments: ""Anomalocaris canadensis,"" ""Anomalocaris daleyae,"" and ""Anomalocaris aff. canadensis (Weeks Formation),"" each with distinct spine patterns.","Diagram showing three variations of Anomalocaris appendages labeled ""Anomalocaris canadensis,"" ""Anomalocaris daleyae,"" and ""Anomalocaris aff. canadensis (Weeks Formation),"" each with segmented units and spines."
German_Scarone2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/German_Scarone2.jpg/145px-German_Scarone2.jpg,Rinascita_Basket_Rimini,"Román González   Mark Crow 1 season: '78-'79  Otis Howard 2 seasons: '78-'80  Reggie Johnson 2 seasons: '84-'86   Olden Polynice 1 season: '86-'87   Mike Sylvester 1 season: '86-'87  Mark Smith 3 seasons: '87-'90  Andre Goode 2 seasons: '87-'89  Rajko Žižić 1 season: '87-'88  Massimo Ruggeri 8 seasons: '89-'95, '98-'99, '01-'02  Carlton Myers 6 seasons: '88-'92, '94-'95, '09-'10   Andrade Israel 3 seasons: '91-'94  Darnell Valentine 1 season: '91-'92  Frank Johnson 1 season: '91-'92   Larry Middleton 2 seasons: '92-'94  Alex Righetti 7 seasons: '93-'00  Emanual Davis 1 season: '94-'95   Germán Scarone 10 seasons: '95-'98, '05-'11, '13-'14  John Fox 1 season: '95-'96  Doug Lee 1 season: '95-'96  Joe Wylie 2 seasons: '96-'98  Boris Gorenc 2 seasons: '97-'99  Anthony Tucker 1 season: '97-'98  Marko Tušek 2 seasons: '98-'00  Antonio Granger 2 seasons: '98-'00   Alan Tomidy 2 seasons: '98-'00   Chris Corchiani 1 season: '99-'00   Glenn Sekunda 2 seasons: '99-'01  Eric Washington 2 seasons: '00-'02  Rodney Buford 1 season: '00-'01  Marques Bragg 1 season: '01-'02  Ed Stokes 1 season: '01-'02  Marcelo Machado 1 season: '02-'03   Guilherme Giovannoni 1 season: '02-'03  Albert Miralles 1 season: '02-'03   Roberto Gabini 1 season: '03-'04  Rodney Monroe 2 seasons: '03-'05   Román González 2 seasons: '03-'05  Chandler Thompson 1 season: '04-'05  Terrence Rencher 1 season: '04-'05   Demián Filloy 4 seasons: '04-'07, '10-'11  Trent Whiting 1 season: '05-'06  Tim Pickett 2 seasons: '05-'07  Omar Thomas 2 seasons: '06-'08  Ndudi Ebi 1 season: '09-'10  Andrea Pecile 1 season: '09-'10  Dušan Vukčević 1 season: '10-'11",Germán Scarone,A basketball player wearing a white jersey with the number 4 is on a wooden court. He has dark curly hair with a white headband and is looking to the side. The jersey has various logos on it.,"Alt-text: A basketball player wearing a white jersey with a colorful logo and the number 4. The player has short dark hair and a headband. They are on a basketball court, appearing focused during a game.","A basketball player wearing a white jersey with the number 4, featuring logos and the word ""Alimentos"" in large letters, playing on a court.","A basketball player wearing a white jersey with ""Qiueao Colage"" and the number 4. He is on a wooden court, with a headband and short curly hair."
Moss_Cass_1973_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Moss_Cass_1973_%28cropped%29.jpg/100px-Moss_Cass_1973_%28cropped%29.jpg,2022_in_Australia,"1 February Fred Cook, Australian rules footballer (Footscray) (b. 1947) Glenn Wheatley, musician and manager (b. 1948) 2 February – Laurie Mithen, Australian rules footballer (Melbourne) (b. 1934) 3 February – Joseph Hitti, Maronite Catholic eparch (born in Lebanon) (b. 1925) 5 February – John Bryson, author and lawyer (b. 1935) 7 February – Noel Allanson, cricketer and Australian rules footballer (Essendon) (b. 1925) 9 February – Johnny Raper, rugby league footballer and coach (b. 1939) 11 February – Ken Turner, Australian rules footballer (Collingwood) (b. 1935) 12 February – Mark Shulman, rugby league footballer (b. 1951) 14 February Joan Croll, physician and radiologist (b. 1928) Mary Willey, Tasmanian politician (b. 1941) 17 February Jack Bendat, businessman (born in the United States) (b. 1925) Nigel Berlyn, rear admiral (born in the United Kingdom) (b. 1934)[91] 19 February – Nigel Butterley, composer and pianist (b. 1935) 20 February – John Bonney, Australian rules footballer (St Kilda) (b. 1946) 21 February – Neil Balnaves, film producer and philanthropist (b. 1944) 24 February – John Landy, 26th Governor of Victoria and Olympic athlete (b. 1930)[92] 25 February – Lorna Fejo, member of the stolen generations (b. 1930) 26 February Moss Cass, Victorian politician (b. 1927) Ingo Renner, glider pilot (born in Germany) (b. 1940)",Moss Cass,A person with dark hair and a beard is wearing a patterned shirt and smiling slightly. The background is a solid red color.,"An individual with dark hair and a beard, wearing a patterned shirt, poses in front of a red background.",A person with dark hair and a beard is wearing a patterned shirt and is posed against a solid red background.,"A man with dark hair and a beard is wearing a patterned shirt, set against a red background."
Recent_Stupas_South_Deur_Kothar_MP_Jan24_A7C_08859.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Recent_Stupas_South_Deur_Kothar_MP_Jan24_A7C_08859.jpg/220px-Recent_Stupas_South_Deur_Kothar_MP_Jan24_A7C_08859.jpg,Deur_Kothar,"Rock paintings in caves at Deorkothar Deorkothar (also: Deur Kothar) is a location of archaeological importance in Madhya Pradesh, Central India. It was discovered in 1982 and is known for Buddhist stupas credited to the Mauryan emperor Ashoka.",Reconstructed stupas at Deorkothar,"A view of several ancient stone stupas at Sanchi, constructed using stacked, weathered rocks. The stupas are cylindrical in shape with a tiered design, set against a dry, earthy landscape with sparse vegetation under an overcast sky.","Alt-text: Ancient stone stupas at Deorkothar, Madhya Pradesh, India. The stupas are constructed with layered stone blocks and are part of an archaeological site linked to the Mauryan emperor Ashoka.","Stone stupas made from stacked, weathered bricks stand on a dry, brown landscape under a hazy sky.","Ancient stone Buddhist stupas at Deorkothar, Madhya Pradesh, on a grassy landscape."
Dan_Sinh_Market.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Dan_Sinh_Market.jpg/220px-Dan_Sinh_Market.jpg,Dân_Sinh_Market,"Dân Sinh Market (Vietnamese: Chợ Dân Sinh), also known as American Market or Yersin Market, is a retail market in District 1, Ho Chi Minh City.[1][2][3][4] Located on Yersin Street (named after French microbiologist Alexandre Yersin), the market is known for selling Vietnam War-era American memorabilia and military surplus.[5][6][7]",Market entrance,"Alt-text: The image shows the entrance to the Cho Dan Sinh market. The entrance is narrow, with a banner above displaying Vietnamese text. Stalls line the sides, exhibiting an assortment of goods including clothes and tools. The interior looks tightly packed, with more items and shoppers visible further inside. The ceiling appears curved and shows signs of wear.","Alt-text: Entrance to Dân Sinh Market in Ho Chi Minh City, featuring a narrow passageway lined with various goods and clothing on display. Signs with Vietnamese writing are visible above the entrance. The market is known for selling military surplus and memorabilia.",A narrow entrance to a market with signs overhead in Vietnamese. Clothing racks and various goods are visible on either side of the hallway.,"Entrance to Dân Sinh Market, featuring signage with ""Chợ Dân Sinh"" and various goods like clothes and military items displayed at the entrance."
"Mitsuo_Fuchida,_August_1945_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Mitsuo_Fuchida%2C_August_1945_%28cropped%29.jpg/170px-Mitsuo_Fuchida%2C_August_1945_%28cropped%29.jpg,Mitsuo_Fuchida,"After spending several months recuperating, Fuchida spent the rest of the war in Japan as a staff officer. On 15 October 1944, he was promoted to captain. The day before the first nuclear weapon was dropped on Hiroshima, he was in that city to attend a week-long military conference with Japanese army officers. Fuchida received a long-distance phone call from Navy Headquarters asking him to return to Tokyo. The day after the bombing, he returned to Hiroshima with a party sent to assess the damage. Many members of Fuchida's party later died of radiation poisoning, but Fuchida exhibited no symptoms.[14] Fuchida's military career ended with his demobilization in November 1945 during the American-led occupation of Japan.[15]","Fuchida as a staff officer of the Combined Fleet, August 1945","Black and white photo of a man in a military uniform with a hat, featuring insignia on his collar and chest. He has a serious expression and is part of a group, but only he is in focus.","A black and white photograph of a man wearing a military uniform and cap, seated in front of other individuals in similar attire. The man has a serious expression, with military badges and insignia visible on his uniform.","A black and white photograph of a person in a military uniform with medals on the chest, looking directly at the camera. They are in a group setting with others partially visible in the background.",A historic black-and-white photo shows a Japanese military officer in uniform with insignia on the collar and a cap.
Pietro-Gori.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Pietro-Gori.jpg/220px-Pietro-Gori.jpg,Luigi_Galleani,"In 1892, together with Pietro Gori and Calabrese anarchist Giovanni Domanico, Galleani was delegated to represent the anarchists at the Genoa Workers' Congress, with the intention of obstructing the motions of the dominant reformist faction.[21] In opposition to the social democrats, led by Lombard lawyer Filippo Turati, an alliance was formed by the anarchists and the workerists, who both opposed political participation.[22] On 14 August, a fierce argument broke out between the anarchist and socialist delegates, leading to two separate meetings being convened the following day.[23] Having finally forced the anarchists to split from the movement, Turati's social democratic majority established the new Italian Socialist Party (PSI), despite the objections of Galleani and his fellow delegates, whose own attempts at forming an anarchist party were unsuccessful.[24] The congress proved that Galleani's agitational campaign had ultimately failed to gain a mass following among the workers, leading to many Italian anarchists becoming disillusioned with the labor movement, which came under the direction of the PSI.[25]","Pietro Gori, one of Galleani's close collaborators in the Italian anarchist movement",A black and white portrait of a man with a mustache. He is wearing a striped suit with a vest and a cravat. The man is looking slightly to his left with a neutral expression. The background is plain and textured.,"A black and white photograph of a man in formal attire, including a suit and tie. He has a mustache and short, combed hair. The background is plain and somewhat textured.","A vintage black-and-white portrait of a man with a mustache wearing a suit and cravat, gazing slightly to the right.","A black-and-white portrait photograph of a man with a mustache, wearing a suit, vest, and a wide tie."
Moses_Margoliouth_(1847_or_1850).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Moses_Margoliouth_%281847_or_1850%29.jpg/220px-Moses_Margoliouth_%281847_or_1850%29.jpg,Moses_Margoliouth,"Moses Margoliouth (1820–1881) was a Polish-born British scholar and Jewish convert to Christianity. He became a minister in the Church of England. Alongside Elieser Bassin, he was also one of the first proponents of British Israelism to be of Jewish descent. He published History of the Jews in Great Britain (1851) and Vestiges of the Historic Anglo-Hebrews in East Anglia (1870).","Moses Margoliouth, age 30, portrait in the 1850 published book about his pilgrimage","Drawing of a person wearing glasses and a cap, holding a piece of paper and touching their face with one hand. They are dressed in historical attire with a long coat.","A black and white illustration of a man with eyeglasses wearing a robe and a cap, holding a paper in his hand while resting his other hand on his face.","A detailed black and white drawing of a person wearing glasses and a headscarf, holding a paper in one hand and resting the other hand on their cheek.","A black and white sketch of a man with glasses, wearing a cap and holding a paper, touching his face with one hand."
Scythian_kingdom_in_the_Pontic_steppe.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Scythian_kingdom_in_the_Pontic_steppe.jpg/450px-Scythian_kingdom_in_the_Pontic_steppe.jpg,Androphagi,"The Androphagi lived in the region to the east of the middle Dnipro river, especially in the valley of the Sula and some smaller rivers.[3]",The location of the Androphagi near Scythia.,"Map showing the Scythian kingdom in the Pontic steppe from 600 to 300 BCE. The map highlights territories of the Scythians and adjacent tribes, with labeled regions such as Agathyrsoi, Getai, and Tauroi. Arrows indicate the movement of Scythian influence or expansion between the 7th and 3rd centuries BCE. The region also marks cultural areas like Milograd and important neighboring empires such as the Achaemenid Empire and Odrysian Kingdom. A color-coded key explains territorial boundaries, including the Royal Scythian area and other Scythian settlements.","Alt-text: A historical map depicting the Scythian kingdom in the Pontic steppe from 600 to 300 BCE. Various tribes and regions are marked, including the Androphagi, located east of the middle Dnipro River. The map shows territories like the Milograd culture, Geloni, Boudinoi, and Scythian areas. Key geographical features, including rivers and the Black Sea, are highlighted. The map uses different colors to represent distinct groups and regions, and includes a legend for reference.","Map illustrating the Scythian kingdom in the Pontic steppe around 600-300 BCE, showing regions like the Royal Scythian area and neighboring cultures such as Agathyrsoi and Neuroi. Arrows indicate movement patterns, and a key explains color coding of territories.","Map showing the Scythian kingdom in the Pontic steppe around 600-300 BCE, highlighting regions including Androphagi, Gelonoi, Boudinoi, and others, with arrows indicating movements of Scythian groups."
Larsson_fiala_12_16-3_(53404702269).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Larsson_fiala_12_16-3_%2853404702269%29.jpg/220px-Larsson_fiala_12_16-3_%2853404702269%29.jpg,Kevin_Fiala,"He scored his first NHL goal on 14 January 2016, against Connor Hellebuyck of the Winnipeg Jets.[10] Spending most of the season with Milwaukee, he finished the year with 50 points in 66 games.[11]",Fiala with the Los Angeles Kings in 2023.,A hockey player wearing a white Los Angeles Kings jersey and helmet is smiling and engaging with another player in a dark jersey on the ice. The background shows a blurred audience in the stands.,"Alt-text: A hockey player wearing a Los Angeles Kings jersey is on the ice, smiling and engaged in conversation with an opposing player. The arena is filled with spectators in the background.","A hockey player in a white jersey with a ""LA"" logo smiles at another player in a dark jersey during a game. The background shows blurred spectators.",Hockey player in a Los Angeles Kings jersey smiling and talking to another player on the ice.
Dongtingriversmap.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Dongtingriversmap.png/300px-Dongtingriversmap.png,Dongting_Lake,"Dongting Lake (Chinese: 洞庭湖) is a large, shallow lake in northeastern Hunan Province, China. It is a flood basin of the Yangtze River, so its volume depends on the season. The provinces of Hubei and Hunan are named after their location relative to the lake: Hubei means ""North of the Lake"" and Hunan, ""South of the Lake"".[2]",Map showing Lake Dongting and the major rivers flowing into it,"Map illustrating the Xiang River system in China, showing its tributaries and connection to Lake Dongting. The map highlights provinces like Hunan, Hubei, Jiangxi, and regions including Guizhou and Guangxi. Key cities such as Changsha, Wuhan, and Zhuzhou are marked. An inset at the bottom left shows the location in Southeast Asia.","Alt-text: Map illustrating the location of Dongting Lake in northeastern Hunan Province, China. The map highlights the provinces of Hubei and Hunan, and shows major rivers such as the Yangtze, Li, Yuan, Zi, and Xiang. Cities like Wuhan, Changsha, and Yongzhou are marked. An inset map shows the location within China.","Map of Hunan province showing rivers, cities, and Lake Dongting. Inset map highlights the region’s location in China.","Map showing Dongting Lake in northeastern Hunan Province, China, including surrounding rivers, cities, and provinces like Hubei and Jiangxi, with a location inset of China."
"Zion_Episcopal_Church,_Douglaston,_New_York,_December_8,_2023.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Zion_Episcopal_Church%2C_Douglaston%2C_New_York%2C_December_8%2C_2023.jpg/220px-Zion_Episcopal_Church%2C_Douglaston%2C_New_York%2C_December_8%2C_2023.jpg,Zion_Episcopal_Church_(Queens),"Zion Church is an inclusive Episcopal congregation in Douglaston, New York with members from throughout the borough of Queens, and from Nassau County. Zion is within the Episcopal Diocese of Long Island, and is one of the oldest churches in Queens, standing at the top of the hill overlooking Douglaston and Little Neck.",Zion Episcopal Church,"A white wooden church with a tall steeple stands amidst autumn trees. The steeple is topped with a spire, and the building features a red door at the front. The trees surrounding the church display fall colors of yellow and orange leaves. The sky is clear, adding to the serene atmosphere.","Alt-text: Front view of Zion Episcopal Church in Douglaston, New York. The church features a prominent white steeple and a red front door, surrounded by trees with autumn foliage.",A white church with a tall steeple surrounded by trees with autumn foliage. The entrance features a red door and a small plaque above it.,"White wooden church with a red door and a tall steeple, surrounded by autumn trees."
IDF-D9-demolishes-Palestinian-structure-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/IDF-D9-demolishes-Palestinian-structure-01.jpg/220px-IDF-D9-demolishes-Palestinian-structure-01.jpg,Gaza_Strip,"The Second Intifada was a major Palestinian uprising in the Israeli-occupied Palestinian territories and Israel. The general triggers for the unrest are speculated to have been centred on the failure of the 2000 Camp David Summit, which was expected to reach a final agreement on the Israeli–Palestinian peace process in July 2000.[74] Outbreaks of violence began in September 2000, after Ariel Sharon, then the Israeli opposition leader, made a provocative visit to the Al-Aqsa compound on the Temple Mount in Jerusalem;[74] the visit itself was peaceful, but, as anticipated, sparked protests and riots that Israeli police put down with rubber bullets and tear gas.[75] The Second Intifada also marked the beginning of rocket attacks and bombings of Israeli border localities by Palestinian guerrillas from the Gaza Strip, especially by the Hamas and Palestinian Islamic Jihad movements.",An IDF Caterpillar D9 armored bulldozer demolishing a house in the Gaza Strip during the Second Intifada,"A bulldozer is demolishing a two-story building made of concrete blocks. The building is partially damaged, and the bulldozer is positioned against it on a dirt landscape with a clear blue sky in the background.","Alt-text: An armored bulldozer demolishing a two-story building in a desert-like area, with clear skies in the background. The structure appears to be made of concrete blocks.","A bulldozer demolishes a partially destroyed, two-story concrete building in a barren area with a clear blue sky in the background.",A bulldozer demolishing a multi-story building in a desert-like landscape under a clear blue sky.
Fars_Photo_of_Destruction_in_Gaza_Strip_during_2023_War_18.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Fars_Photo_of_Destruction_in_Gaza_Strip_during_2023_War_18.jpg/220px-Fars_Photo_of_Destruction_in_Gaza_Strip_during_2023_War_18.jpg,War_crimes_in_the_Israel–Hamas_war,"Israel's adherence to the principles of discrimination and proportionality as required by the laws of war has been questioned.[117][118] Human Rights Watch has stated that the overall civilian death toll, and Israel's use of powerful weapons in Gaza's densely-populated neighbourhoods, raised ""serious questions"" about the legality of Israel's conduct.[118] Human Rights Watch further argued that a higher proportion of casualties among women and children is indicative of a lack of proportionality, demonstrating what they describe as ""a disregard toward Palestinian lives"".[118] Amnesty International accused Israel of war crimes in a report where it analyzed five incidents between 7 and 12 October where the IDF targeted residential areas in Gaza. It found that in several cases the IDF struck targets with no evidence of military activity and that these attacks were ""indiscriminate"" in nature. Anonymous IDF officials cited in a report by +972 Magazine indicated a ""loosening of constraints"" in the rules of engagement, and that in numerous cases the IDF struck targets despite no evidence of military activity. The report claims that the rationale behind such attacks was ""to harm Palestinian civil society"" and, according to one source cited by the report, to ""lead civilians to put pressure on Hamas"".[119]","Residential neighborhood destroyed in Gaza, October 2023.","Destruction scene showing heavily damaged buildings and debris strewn across the ground. The structures have collapsed walls and exposed interiors. People are visible in the background, walking amidst the rubble. The sky is overcast, adding to the somber atmosphere.","Alt-text: A damaged urban area with debris and destroyed buildings. The scene shows a heavily bombed neighborhood with rubble scattered across the ground. Dark clouds loom overhead, and a group of people is visible in the background, assessing the destruction.","Damaged buildings and debris strewn across the street, with a cloudy sky overhead. People are gathered in the distance amidst the destruction.","A destroyed urban area with damaged buildings and debris, showing the aftermath of an attack. People are visible among the rubble."
